Year,coal_co2
1991,5616.513
1992,5643.201
1993,5683.531
1994,5783.563
1995,5855.011
1996,6070.724
1997,6204.902
1998,6284.472
1999,6367.856
2000,6526.609
2001,6603.101
2002,6695.285
2003,7005.702
2004,7442.948
2005,7732.785
2006,8207.894
2007,8577.632
2008,8911.553
2009,9024.247
2010,9558.453
2011,9753.175
2012,9946.536
2013,9954.796
2014,10053.121
2015,9927.297
2016,9814.922
2017,10047.689
2018,10188.849
2019,10068.971
2020,9596.824
2021,10659.552
2022,10715.623
